url,title,date_posted,primary_slug,primary_score,secondary,needs_review,has_pdf,text_length
https://www.edwardconard.com/macro-roundup/topics/,Edward Conard - Top Ten New York Times Bestselling Author,,productivity-innovation-and-technology/innovation-and-randd,0.3246,[],1,0,1899
https://www.edwardconard.com/macro-roundup/?filters=macro-roundup-weekly,Macro Roundup Archive - Edward Conard,"October 28, 2025",macro-and-growth,0.3968,[],1,0,15580
https://www.edwardconard.com/macro-roundup/data-from-a-british-birth-cohort-followed-since-1958-show-that-cognitive-skills-early-in-life-predict-wages-at-age-50-better-than-cognitive-skills-at-age-50-early-cognitive-skills-likely-allow-for-hi/?view=detail&filters=macro-roundup-database,Cognitive Skills Beyond Childhood,"October 31, 2025",labor-and-demographics,0.4427,[],1,0,9120
https://www.edwardconard.com/macro-roundup/students-at-ivy-plus-colleges-whose-sat-act-scores-were-at-the-99th-percentile-had-1st-year-college-gpas-0-43-points-higher-than-those-who-had-scored-at-the-75th-percentile-while-high-school-gpas-had/?view=detail&filters=macro-roundup-database,Standardized Test Scores and 1st Year GPA,"March 18, 2025",labor-and-demographics,0.4073,[],1,0,8803
https://www.edwardconard.com/macro-roundup/the-2023-oecd-survey-of-adult-skills-reveals-the-us-has-3-low-scorers-for-every-high-scorer-germany-has-nearly-3x-as-many-high-scorers-per-low-scorer-as-the-us-scandinavia-has-more-than-5x-and-jap/?view=detail&filters=macro-roundup-database,Do Adults Have Skills Needed to Thrive in a Changing World?,"December 10, 2024",labor-and-demographics,0.4115,[],1,0,9722
https://www.edwardconard.com/macro-roundup/danish-data-show-that-the-probability-of-becoming-either-an-rd-worker-or-a-transformative-entrepreneur-who-hires-rd-workers-and-pursues-innovation-is-highly-correlated-with/?view=detail&filters=macro-roundup-database,Transformative and Subsistence Entrepreneurs: Origins and Impacts on Economic Growth,"May 14, 2025",labor-and-demographics,0.4204,[],1,0,9828
https://www.edwardconard.com/macro-roundup/morgan-stanley-estimates-2-9t-will-be-spent-on-the-datacenter-buildout-globally-by-2028-1-5t-will-require-debt-financing-800b-of-which-will-be-raised-from-private-credit-in-deals-tied-to-specific/?view=detail&filters=macro-roundup-database,"Meta, xAI Starting Trend for Billions in Off-Balance Sheet Debt","October 31, 2025",macro-and-growth/demand-components/investment,0.5041,[],1,0,8503
https://www.edwardconard.com/macro-roundup/kedrosky-argues-that-a-3-2b-junk-bond-issuance-to-fund-a-datacenter-and-a-30b-spv-to-finance-a-meta-datacenter-campus-place-us-in-the-speculative-finance-phase-of-a-minsky-cycle-w/?view=detail&filters=macro-roundup-database,Minsky Moments and AI CapExMinsky Moments and AI CapEx,"October 17, 2025",macro-and-growth/business-cycle-and-recession-risk,0.4643,[],1,0,9309
https://www.edwardconard.com/macro-roundup/since-the-launch-of-chatgpt-in-november-2022-ai-related-stocks-have-accounted-for-75-of-sp-500-returns-79-of-earnings-growth-and-90-of-capital-spending-capex-and-rd-growth/?view=detail&filters=macro-roundup-database,"The Blob: Capital, China, Chips, Chicago and Chilliwack","September 24, 2025",macro-and-growth/demand-components/investment,0.527,[],1,1,54233
https://www.edwardconard.com/macro-roundup/citing-a-median-24m-fwd-p-e-ratio-across-the-mag7-of-27x-26x-net-tesla-relative-to-their-comps-52x-during-the-tech-bubble-oppenheimer-argues-valuations-are-not-at-levels-that-are-as-high-a/?view=detail&filters=macro-roundup-database,Why We Are Not In A Bubble....Yet,"October 8, 2025",financial-markets,0.5266,[],1,0,9425
https://www.edwardconard.com/macro-roundup/substrate-a-us-startup-has-invented-a-new-x-ray-lithography-tool-if-its-performance-claims-are-borne-out-leading-edge-wafers-could-be-produced-at-50-less-than-existing-options/?view=detail&filters=macro-roundup-database,How to Kill 2 Monopolies with 1 Tool,"October 31, 2025",productivity-innovation-and-technology,0.4904,[],1,0,8426
https://www.edwardconard.com/macro-roundup/china-is-responding-to-american-chip-export-restrictions-by-undertaking-a-massive-expansion-of-domestic-chip-manufacturing-attempting-to-triple-the-countrys-current-output-by-the-end-of-2026/?view=detail&filters=macro-roundup-database,China Seeks To Triple Output Of AI Chips In Race With The US,"August 27, 2025",productivity-innovation-and-technology/ai-and-automation,0.4555,[],1,0,7810
