Name,Description,Section,Project,Assignee,Due Date,Tags
"Convert Zinger CLI to Slash Command","Wrap existing zinger_cli.py functionality as Claude Code slash command /zinger","Phase 1: Quick Wins","EWC - Professional System","","","P1,Easy,Professional"
"Compile OpEd Voice Examples Document","Select 5-10 published Ed OpEds and annotate them for AI training: tone, structure, certainty levels, counterargument handling","Phase 1: Quick Wins","EWC - Professional System","","","P1,Easy,Professional"
"Compile Content Source Expansion List","Research 20+ think tanks and publications for Macro Roundup content expansion","Phase 1: Quick Wins","EWC - Professional System","","","P2,Easy,Professional"
"Export Zingers to Reference Spreadsheet","Create easily browsable spreadsheet of all 2,434 zingers by argument category","Phase 1: Quick Wins","EWC - Professional System","","","P2,Easy,Professional"
"Create Special Edition Candidate List","Manual analysis of database to identify 10-15 potential special edition themes","Phase 1: Quick Wins","EWC - Professional System","","","P2,Easy,Professional"
"Build OpEd Drafter Skill v1","Create first version of OpEd generation skill using voice guidelines. Dependencies: Voice examples document complete","Phase 2: Foundation","EWC - Professional System","","","P0,Medium,Professional"
"Build Counterargument Mapper Skill","Skill that maps common objections to Ed's 10 arguments with suggested rebuttals","Phase 2: Foundation","EWC - Professional System","","","P1,Medium,Professional"
"Build Special Edition Scout Skill","Analyzes Neo4j database to identify emerging themes worthy of special edition treatment","Phase 2: Foundation","EWC - Professional System","","","P1,Medium,Professional"
"Build Content Expansion Scout Skill","Identifies new contributors and think tank sources for Macro Roundup diversification. Dependencies: Content source list complete","Phase 2: Foundation","EWC - Professional System","","","P2,Medium,Professional"
"Initiate Tag Refinement Project","Work with Steve to improve broad tags like Growth with meaningful subtags","Phase 2: Foundation","EWC - Professional System","","","P2,Medium,Professional"
"Surface Human-AI Overlap Analysis to Ed","Create presentation of existing overlap analysis for Ed's review. Requires Anthony.","Phase 2: Foundation","EWC - Professional System","","","P2,Medium,Professional"
"Implement Tag-Level AI View (Centroid Embeddings)","Compute and expose tag-level semantic views using embedding centroids. Requires Anthony.","Phase 3: Automation","EWC - Professional System","","","P1,Difficult,Professional"
"Build Special Edition Auto-Identification","System that proactively identifies special edition candidates without human prompting","Phase 3: Automation","EWC - Professional System","","","P2,Difficult,Professional"
"Build Market Demand Monitoring Agent","Agent that scans publications for topics where Ed's perspective would be timely","Phase 3: Automation","EWC - Professional System","","","P2,Difficult,Professional"
"Build OpEd Drafter Skill v2 (Calibrated)","Refined version that produces drafts requiring minimal Ed editing. Dependencies: v1 + Ed feedback cycles","Phase 4: Intelligence","EWC - Professional System","","","P0,Difficult,Professional"
"Develop Voice Model Refinement Process","Systematic approach to improving AI match to Ed's rhetorical style","Phase 4: Intelligence","EWC - Professional System","","","P1,Difficult,Professional"
"Address AI Article Selection Challenge","Explore whether AI can articulate principles and exceptions for article curation","Phase 4: Intelligence","EWC - Professional System","","","P2,Difficult,Professional"
